Read_lengths,Braken_Percentage,Kraken_Percentage,Centrifuge_Percentage
10500,72.64,66.34,72.25
11000,72.65,66.39,72.3
11500,72.64,66.43,72.34
12000,72.66,66.47,72.38
12500,72.68,66.52,72.41
13000,72.67,66.55,72.43
13500,72.71,66.6,72.45
14000,72.7,66.6,72.46
14500,72.7,66.63,72.49
15000,72.69,66.64,72.49
15500,72.71,66.66,72.49
16000,72.7,66.67,72.54
16500,72.7,66.68,72.55
17000,72.72,66.7,72.55
17500,72.72,66.7,72.54
18000,72.71,66.71,72.56
18500,72.71,66.72,72.58
19000,72.71,66.73,72.57
19500,72.73,66.73,72.57
20000,72.71,66.73,72.57
Combined,72.74,66.79,72.62
