basecaller,classifier,species,sensitivity,precision,f1_score
r10SUP,centrifuge,Pa01,1.0,0.98,0.99
r10SUP,centrifuge,MRSA,1.0,0.9,0.95
simulated,kraken2,Ecoli,0.95,0.02,0.04
r10DOR,centrifuge,Pa01,1.0,0.98,0.99
r10SUP,braken,MRSA,0.99,0.92,0.95
simulated,kraken2,MRSA,0.95,0.13,0.23
r10DUP,braken,Pa01,1.0,0.72,0.84
simulated,braken,Pa01,0.95,0.32,0.48
r9HAC,kraken2,Pa01,0.99,1.0,0.99
simulated,braken,Kpneu,0.95,0.25,0.4
r9SUP,braken,Pa01,0.99,1.0,0.99
simulated,braken,MRSA,0.95,0.13,0.23
r10DUP,kraken2,Kpneu,0.99,0.61,0.75
r10DUP,centrifuge,MRSA,1.0,0.76,0.86
r10DUP,centrifuge,Pa01,1.0,0.73,0.84
r10SUP,centrifuge,Kpneu,1.0,0.82,0.9
r9SUP,braken,Ecoli,0.97,0.09,0.16
r10DUP,centrifuge,Ecoli,1.0,0.32,0.48
r9SUP,kraken2,MRSA,0.99,0.93,0.96
r10DUP,kraken2,Ecoli,0.97,0.22,0.36
r10SUP,braken,Kpneu,0.98,0.84,0.9
r10SUP,kraken2,Ecoli,0.96,0.08,0.15
simulated,centrifuge,Ecoli,1.0,0.06,0.11
r9SUP,kraken2,Pa01,0.99,1.0,0.99
r10SUP,kraken2,Kpneu,0.98,0.83,0.9
r10DOR,centrifuge,Ecoli,1.0,0.2,0.33
r10SUP,kraken2,MRSA,0.99,0.91,0.95
r9SUP,centrifuge,Ecoli,1.0,0.21,0.35
r10DOR,braken,Ecoli,0.94,0.09,0.16
r10DOR,kraken2,Kpneu,0.98,0.82,0.89
simulated,kraken2,Kpneu,0.95,0.24,0.38
simulated,kraken2,Pa01,0.95,0.31,0.47
r10DUP,braken,Kpneu,0.99,0.62,0.76
simulated,centrifuge,Pa01,1.0,0.31,0.47
r9SUP,kraken2,Ecoli,0.97,0.09,0.16
r9SUP,braken,MRSA,0.99,0.93,0.96
r10DUP,centrifuge,Kpneu,1.0,0.62,0.77
r9HAC,braken,MRSA,0.99,0.92,0.95
r10DUP,kraken2,MRSA,0.99,0.78,0.87
r10DUP,braken,Ecoli,0.97,0.23,0.37
r10DOR,centrifuge,Kpneu,1.0,0.81,0.9
r9SUP,centrifuge,MRSA,1.0,0.92,0.96
r9HAC,centrifuge,Ecoli,0.99,0.22,0.36
r9SUP,braken,Kpneu,0.98,0.8,0.88
simulated,braken,Ecoli,0.95,0.03,0.06
r10SUP,braken,Ecoli,0.96,0.08,0.15
r10SUP,kraken2,Pa01,0.99,0.99,0.99
simulated,centrifuge,MRSA,1.0,0.13,0.23
r10SUP,braken,Pa01,0.99,0.99,0.99
r9SUP,kraken2,Kpneu,0.98,0.8,0.88
r9HAC,centrifuge,Kpneu,1.0,0.78,0.88
simulated,centrifuge,Kpneu,1.0,0.23,0.37
r10DUP,braken,MRSA,0.99,0.79,0.88
r10DOR,kraken2,MRSA,0.99,0.91,0.95
r9HAC,braken,Pa01,0.99,1.0,0.99
r9HAC,braken,Kpneu,0.98,0.8,0.88
r9SUP,centrifuge,Kpneu,1.0,0.79,0.88
r10DOR,braken,Kpneu,0.98,0.83,0.9
r10DUP,kraken2,Pa01,1.0,0.72,0.84
r9HAC,centrifuge,MRSA,1.0,0.91,0.95
r9HAC,kraken2,Ecoli,0.96,0.08,0.15
r10DOR,braken,Pa01,0.99,1.0,0.99
r9HAC,centrifuge,Pa01,1.0,0.99,0.99
r10DOR,kraken2,Ecoli,0.94,0.08,0.15
r10SUP,centrifuge,Ecoli,1.0,0.22,0.36
r9HAC,braken,Ecoli,0.96,0.09,0.16
r10DOR,centrifuge,MRSA,1.0,0.89,0.94
r9HAC,kraken2,Kpneu,0.98,0.78,0.87
r10DOR,braken,MRSA,0.99,0.92,0.95
r10DOR,kraken2,Pa01,0.99,0.98,0.98
r9SUP,centrifuge,Pa01,1.0,0.99,0.99
r9HAC,kraken2,MRSA,0.99,0.92,0.95
